player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Asier Illarramendi,2020-2021,es La Liga,59344,5,3.0,2,3,279.0,2.0,0.0,0.968,0.4,0.6
Asier Illarramendi,2021-2022,es La Liga,59344,3,4.0,2,2,180.0,1.0,0.0,2.0,0.667,0.667
Asier Illarramendi,2022-2023,es La Liga,59344,4,2.0,2,3,255.0,2.0,0.0,0.706,0.5,0.75
Aster Vranckx,2021-2022,de Bundesliga,503881,3,2.0,2,2,217.0,0.0,0.0,0.829,0.667,0.667
Aster Vranckx,2022-2023,it Serie A,503881,1,1.0,0,0,75.0,0.0,0.0,1.2,0.0,0.0
Aster Vranckx,2023-2024,de Bundesliga,503881,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Atakan Karazor,2020-2021,de Bundesliga,232320,10,16.0,1,2,883.0,3.0,0.0,1.631,0.1,0.2
Atakan Karazor,2021-2022,de Bundesliga,232320,23,36.0,2,7,1890.0,9.0,0.0,1.714,0.087,0.304
Atakan Karazor,2022-2023,de Bundesliga,232320,22,36.0,1,4,1890.0,9.0,0.0,1.714,0.045,0.182
Atakan Karazor,2023-2024,de Bundesliga,232320,8,7.0,2,6,682.0,4.0,0.0,0.924,0.25,0.75
Augusto Fernández,2020-2021,es La Liga,39151,1,4.0,0,0,61.0,0.0,0.0,5.902,0.0,0.0
Aurélien Tchouaméni,2020-2021,fr Ligue 1,413112,27,29.0,11,19,2356.0,5.0,0.0,1.108,0.407,0.704
Aurélien Tchouaméni,2021-2022,fr Ligue 1,413112,31,31.0,10,17,2723.0,11.0,0.0,1.025,0.323,0.548
Aurélien Tchouaméni,2022-2023,es La Liga,413112,23,25.0,5,15,1846.0,2.0,0.0,1.219,0.217,0.652
Aurélien Tchouaméni,2023-2024,es La Liga,413112,7,7.0,3,5,630.0,0.0,0.0,1.0,0.429,0.714
Aurélio Buta,2023-2024,de Bundesliga,258039,3,4.0,0,1,270.0,0.0,0.0,1.333,0.0,0.333
Auston Trusty,2023-2024,eng Premier League,389253,6,19.0,0,0,530.0,1.0,0.0,3.226,0.0,0.0
Axel Disasi,2020-2021,fr Ligue 1,386047,24,28.0,11,15,1936.0,4.0,2.0,1.302,0.458,0.625
Axel Disasi,2021-2022,fr Ligue 1,386047,30,34.0,8,15,2655.0,5.0,0.0,1.153,0.267,0.5
Axel Disasi,2022-2023,fr Ligue 1,386047,37,56.0,9,18,3311.0,3.0,0.0,1.522,0.243,0.486
Axel Disasi,2023-2024,eng Premier League,386047,6,14.0,0,2,540.0,2.0,0.0,2.333,0.0,0.333
Axel Guessand,2022-2023,it Serie A,925584,1,1.0,0,0,80.0,0.0,0.0,1.125,0.0,0.0
Axel Tuanzebe,2020-2021,eng Premier League,342046,4,6.0,0,1,353.0,1.0,0.0,1.53,0.0,0.25
Axel Tuanzebe,2021-2022,eng Premier League,342046,6,11.0,1,1,495.0,1.0,0.0,2.0,0.167,0.167
Axel Witsel,2020-2021,de Bundesliga,35047,13,19.0,4,7,1103.0,4.0,0.0,1.55,0.308,0.538
Axel Witsel,2021-2022,de Bundesliga,35047,22,32.0,5,14,1836.0,4.0,0.0,1.569,0.227,0.636
Axel Witsel,2022-2023,es La Liga,35047,25,28.0,5,14,2154.0,1.0,1.0,1.17,0.2,0.56
Axel Witsel,2023-2024,es La Liga,35047,7,9.0,1,3,606.0,1.0,0.0,1.337,0.143,0.429
Aymeric Laporte,2020-2021,eng Premier League,176553,14,10.0,7,10,1260.0,1.0,0.0,0.714,0.5,0.714
Aymeric Laporte,2021-2022,eng Premier League,176553,33,24.0,18,26,2834.0,5.0,1.0,0.762,0.545,0.788
Aymeric Laporte,2022-2023,eng Premier League,176553,11,8.0,4,8,978.0,0.0,0.0,0.736,0.364,0.727
Ayoub Amraoui,2022-2023,fr Ligue 1,860051,3,2.0,1,1,225.0,1.0,0.0,0.8,0.333,0.333
Azor Matusiwa,2021-2022,fr Ligue 1,315145,23,29.0,5,7,1928.0,6.0,0.0,1.354,0.217,0.304
Azor Matusiwa,2022-2023,fr Ligue 1,315145,25,27.0,10,10,2106.0,4.0,0.0,1.154,0.4,0.4
Azor Matusiwa,2023-2024,fr Ligue 1,315145,3,3.0,1,2,270.0,0.0,0.0,1.0,0.333,0.667
Azzedine Ounahi,2021-2022,fr Ligue 1,593482,3,5.0,0,0,255.0,0.0,0.0,1.765,0.0,0.0
Azzedine Ounahi,2022-2023,fr Ligue 1,593482,2,7.0,0,0,168.0,0.0,0.0,3.75,0.0,0.0
