Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
18,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,28,12,"1,183",13.1,3,4,7,2,1,2,1,0,0.23,0.3,0.53,0.15,0.46
19,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,23,20,"1,710",19,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33
24,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,36,30,"2,652",29.5,9,3,12,9,0,1,2,0,0.31,0.1,0.41,0.31,0.41
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,0,0.14,0.14,0,0.14
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,25,19,"1,545",17.2,2,2,4,2,0,0,5,1,0.12,0.12,0.23,0.12,0.23
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,22,15,"1,409",15.7,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,22,2002,25,17,"1,433",15.9,7,6,13,7,0,0,4,0,0.44,0.38,0.82,0.44,0.82
30,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,22,2002,29,12,"1,097",12.2,2,2,4,2,0,0,0,0,0.16,0.16,0.33,0.16,0.33
31,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,0.23,0,0.23,0.23,0.23
32,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,26,15,"1,234",13.7,4,6,10,4,0,0,3,1,0.29,0.44,0.73,0.29,0.73
33,Adrián,es ESP,GK,Real Betis,es La Liga,37,1987,19,19,"1,710",19,0,0,0,0,0,0,3,0,0,0,0,0,0
34,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,14,9,724,8,0,0,0,0,0,0,2,0,0,0,0,0,0
37,Oladapo Afolayan,eng ENG,"FW,MF",St Pauli,de Bundesliga,26,1998,32,17,"1,639",18.2,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,16,16,"1,410",15.7,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14,14,"1,260",14,0,0,0,0,0,0,3,0,0,0,0,0,0
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jeremy Agbonifo,se SWE,FW,Lens,fr Ligue 1,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.3,0,0.3,0.3,0.3
42,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0,0,0,0,0
43,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,35,24,"2,114",23.5,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17
44,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,24,1999,22,21,"1,751",19.5,3,0,3,3,0,0,1,0,0.15,0,0.15,0.15,0.15
45,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0,0.2,0.2,0,0.2
46,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,21,21,"1,760",19.6,0,0,0,0,0,0,5,0,0,0,0,0,0
48,Ruben Aguilar,fr FRA,"MF,DF",Lens,fr Ligue 1,31,1993,16,13,"1,124",12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24
49,Naouirou Ahamada,fr FRA,MF,Rennes,fr Ligue 1,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Honest Ahanor,it ITA,"MF,DF",Genoa,it Serie A,16,2008,6,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Erik Ahlstrand,se SWE,MF,St Pauli,de Bundesliga,22,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,26,26,"1,959",21.8,2,0,2,2,0,0,7,0,0.09,0,0.09,0.09,0.09
53,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
