"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"73;""Florian Lejeune"";""Rayo Vallecano"";31;2572;4;0;2.56;0.3;0.09;0.01;0.1;0.1;0.14;0.13",
"74;""Alex Berenguer"";""Athletic Club"";37;2313;4;1;5.66;4.94;0.22;0.19;0.41;0.41;0.46;0.19",
"75;""Ferrán Torres"";""Barcelona"";33;1372;4;2;5.99;4.73;0.39;0.31;0.7;0.65;0.82;0.29",
"76;""Gonzalo Melero"";""Almeria"";27;1919;4;3;2.98;1.64;0.14;0.08;0.22;0.18;0.34;0.21",
"77;""Rodrigo Riquelme"";""Girona"";34;2218;4;4;3.76;4.45;0.15;0.18;0.33;0.33;0.52;0.26",
"78;""Tete Morente"";""Elche"";32;2099;4;0;3.42;1.23;0.15;0.05;0.2;0.2;0.21;0.09",
"79;""Nahuel Molina"";""Atletico Madrid"";33;2873;4;2;3.22;3.72;0.1;0.12;0.22;0.22;0.54;0.36",
"80;""Luis Suárez"";""Almeria"";21;1498;4;4;4.26;2.6;0.26;0.16;0.41;0.41;0.46;0.1",
"81;""Yeremi Pino"";""Villarreal"";36;2509;4;5;8.07;6.48;0.29;0.23;0.52;0.52;0.7;0.24",
"82;""Abdessamad Ezzalzouli"";""Osasuna"";28;1522;4;2;3.16;1.54;0.19;0.09;0.28;0.28;0.4;0.17",
"83;""Jørgen Strand Larsen"";""Celta Vigo"";32;1735;4;4;4.81;1.95;0.25;0.1;0.35;0.35;0.41;0.12",
"84;""Haris Seferovic"";""Celta Vigo"";18;894;3;1;2.94;0.75;0.3;0.08;0.37;0.37;0.45;0.13",
"85;""Etienne Capoue"";""Villarreal"";28;1965;3;0;2.59;1.38;0.12;0.06;0.18;0.18;0.44;0.32",
"86;""Ayoze Pérez"";""Real Betis"";19;1413;3;1;4.82;2.09;0.31;0.13;0.44;0.44;0.56;0.22",
"87;""Umar Sadiq"";""Almeria","Real Sociedad"";5;328;3;0;1.86;0.34;0.51;0.09;0.6;0.6;0.56;0.02"
"88;""Lucas Pérez"";""Cadiz"";14;601;3;0;2.63;0.75;0.39;0.11;0.51;0.51;0.64;0.2",
"89;""David López"";""Girona"";20;1660;3;1;2.08;0.52;0.11;0.03;0.14;0.14;0.34;0.3",
"90;""Munir"";""Getafe"";28;1126;3;1;3.11;1.4;0.25;0.11;0.36;0.36;0.38;0.13",
"91;""Moi Gómez"";""Osasuna"";33;2467;3;2;1.65;4.19;0.06;0.15;0.21;0.21;0.36;0.29",
"92;""Saúl Ñíguez"";""Atletico Madrid"";31;1084;3;0;1.84;0.72;0.15;0.06;0.21;0.21;0.49;0.29",
"93;""Daniel Parejo"";""Villarreal"";37;3295;3;4;4.97;4.12;0.14;0.11;0.25;0.17;0.6;0.56",
"94;""Óliver Torres"";""Sevilla"";32;2192;3;1;2.67;3.36;0.11;0.14;0.25;0.25;0.49;0.3",
"95;""Óscar Trejo"";""Rayo Vallecano"";34;2212;3;4;3.3;2.89;0.13;0.12;0.25;0.19;0.33;0.18",
"96;""Fidel"";""Elche"";27;1765;3;2;2.23;3.32;0.11;0.17;0.28;0.24;0.27;0.14",
"97;""Álex Fernández"";""Cadiz"";28;1556;3;0;2.54;1.65;0.15;0.1;0.24;0.2;0.25;0.13",
