player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Nícolas,2020-2021,it Serie A,99523,2,5.0,0,1,180.0,0.0,0.0,2.5,0.0,0.5
Oier Olazábal,2021-2022,es La Liga,8176,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Oliver Baumann,2020-2021,de Bundesliga,55089,31,51.0,6,10,2790.0,1.0,0.0,1.645,0.194,0.323
Oliver Baumann,2021-2022,de Bundesliga,55089,33,57.0,8,12,2970.0,1.0,0.0,1.727,0.242,0.364
Oliver Baumann,2022-2023,de Bundesliga,55089,34,57.0,5,10,3060.0,2.0,0.0,1.676,0.147,0.294
Oliver Baumann,2023-2024,de Bundesliga,55089,9,17.0,0,2,810.0,0.0,0.0,1.889,0.0,0.222
Oliver Christensen,2022-2023,de Bundesliga,471936,33,68.0,3,6,2970.0,2.0,0.0,2.061,0.091,0.182
Ouparine Djoco,2021-2022,fr Ligue 1,594993,23,36.0,5,6,2070.0,1.0,0.0,1.565,0.217,0.261
Ouparine Djoco,2022-2023,fr Ligue 1,594993,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Patrick Pentz,2022-2023,fr Ligue 1,223972,7,14.0,0,1,630.0,1.0,0.0,2.0,0.0,0.143
Pau López,2020-2021,it Serie A,286415,20,28.0,4,10,1800.0,0.0,0.0,1.4,0.2,0.5
Pau López,2021-2022,fr Ligue 1,286415,29,31.0,10,15,2610.0,4.0,0.0,1.069,0.345,0.517
Pau López,2022-2023,fr Ligue 1,286415,32,33.0,10,21,2880.0,3.0,0.0,1.031,0.312,0.656
Pau López,2023-2024,fr Ligue 1,286415,7,8.0,1,3,630.0,1.0,0.0,1.143,0.143,0.429
Paul Bernardoni,2020-2021,fr Ligue 1,318507,38,58.0,9,12,3420.0,1.0,0.0,1.526,0.237,0.316
Paul Bernardoni,2021-2022,fr Ligue 1,318507,32,56.0,7,9,2880.0,0.0,0.0,1.75,0.219,0.281
Paul Bernardoni,2022-2023,fr Ligue 1,318507,27,62.0,3,1,2430.0,0.0,0.0,2.296,0.111,0.037
Paul Nardi,2020-2021,fr Ligue 1,189744,23,43.0,3,6,2070.0,1.0,0.0,1.87,0.13,0.261
Paul Nardi,2021-2022,fr Ligue 1,189744,22,38.0,4,3,1980.0,1.0,0.0,1.727,0.182,0.136
Paulo Gazzaniga,2020-2021,es La Liga,195488,8,9.0,2,3,720.0,3.0,0.0,1.125,0.25,0.375
Paulo Gazzaniga,2022-2023,es La Liga,195488,28,37.0,4,11,2520.0,4.0,0.0,1.321,0.143,0.393
Paulo Gazzaniga,2023-2024,es La Liga,195488,9,10.0,4,4,810.0,0.0,0.0,1.111,0.444,0.444
Pavao Pervan,2020-2021,de Bundesliga,51977,2,4.0,0,0,180.0,0.0,0.0,2.0,0.0,0.0
Pavao Pervan,2021-2022,de Bundesliga,51977,6,14.0,1,1,540.0,0.0,0.0,2.333,0.167,0.167
Pavao Pervan,2023-2024,de Bundesliga,51977,2,4.0,0,0,180.0,1.0,0.0,2.0,0.0,0.0
Pepe Reina,2020-2021,it Serie A,7825,29,41.0,9,18,2610.0,1.0,0.0,1.414,0.31,0.621
Pepe Reina,2021-2022,it Serie A,7825,15,29.0,2,6,1350.0,3.0,0.0,1.933,0.133,0.4
Pepe Reina,2022-2023,es La Liga,7825,22,27.0,5,13,1980.0,2.0,0.0,1.227,0.227,0.591
Pepe Reina,2023-2024,es La Liga,7825,1,1.0,0,1,90.0,0.0,0.0,1.0,0.0,1.0
Philipp Köhn,2023-2024,fr Ligue 1,251322,4,7.0,0,1,360.0,0.0,0.0,1.75,0.0,0.25
Philipp Pentke,2020-2021,de Bundesliga,8246,3,3.0,0,1,270.0,0.0,0.0,1.0,0.0,0.333
Philipp Pentke,2021-2022,de Bundesliga,8246,1,3.0,0,1,90.0,0.0,0.0,3.0,0.0,1.0
Pierluigi Gollini,2020-2021,it Serie A,244192,25,28.0,9,14,2159.0,0.0,1.0,1.167,0.36,0.56
Pierluigi Gollini,2022-2023,it Serie A,244192,7,6.0,4,3,630.0,0.0,0.0,0.857,0.571,0.429
Pierluigi Gollini,2023-2024,it Serie A,244192,3,2.0,1,1,270.0,0.0,0.0,0.667,0.333,0.333
Pietro Terracciano,2020-2021,it Serie A,96254,2,2.0,1,0,180.0,0.0,0.0,1.0,0.5,0.0
Pietro Terracciano,2021-2022,it Serie A,96254,31,40.0,9,16,2790.0,0.0,0.0,1.29,0.29,0.516
Pietro Terracciano,2022-2023,it Serie A,96254,29,38.0,5,9,2610.0,1.0,0.0,1.31,0.172,0.31
Pietro Terracciano,2023-2024,it Serie A,96254,8,11.0,1,2,720.0,1.0,0.0,1.375,0.125,0.25
Predrag Rajkovic,2020-2021,fr Ligue 1,190263,37,49.0,10,9,3285.0,2.0,0.0,1.342,0.27,0.243
Predrag Rajkovic,2021-2022,fr Ligue 1,190263,38,44.0,11,11,3420.0,2.0,0.0,1.158,0.289,0.289
Predrag Rajkovic,2022-2023,es La Liga,190263,36,40.0,12,13,3240.0,3.0,0.0,1.111,0.333,0.361
Predrag Rajkovic,2023-2024,es La Liga,190263,9,11.0,2,3,810.0,1.0,0.0,1.222,0.222,0.333
Péter Gulácsi,2020-2021,de Bundesliga,57071,33,30.0,15,19,2970.0,0.0,0.0,0.909,0.455,0.576
Péter Gulácsi,2021-2022,de Bundesliga,57071,33,34.0,10,17,2967.0,1.0,0.0,1.031,0.303,0.515
Péter Gulácsi,2022-2023,de Bundesliga,57071,6,10.0,2,2,540.0,0.0,0.0,1.667,0.333,0.333
Péter Gulácsi,2023-2024,de Bundesliga,57071,6,4.0,3,5,540.0,0.0,0.0,0.667,0.5,0.833
Radoslaw Majecki,2020-2021,fr Ligue 1,346546,1,1.0,0,1,90.0,0.0,0.0,1.0,0.0,1.0
Radoslaw Majecki,2023-2024,fr Ligue 1,346546,4,4.0,2,2,360.0,1.0,0.0,1.0,0.5,0.5
Rafael,2020-2021,it Serie A,84467,2,5.0,0,0,180.0,0.0,0.0,2.5,0.0,0.0
Rafal Gikiewicz,2020-2021,de Bundesliga,78339,34,54.0,7,10,3060.0,3.0,0.0,1.588,0.206,0.294
Rafal Gikiewicz,2021-2022,de Bundesliga,78339,34,56.0,9,10,3060.0,0.0,0.0,1.647,0.265,0.294
Rafal Gikiewicz,2022-2023,de Bundesliga,78339,23,41.0,5,8,2070.0,3.0,0.0,1.783,0.217,0.348
Ralf Fährmann,2020-2021,de Bundesliga,39015,22,55.0,3,3,1877.0,2.0,0.0,2.637,0.136,0.136
Ralf Fährmann,2022-2023,de Bundesliga,39015,12,15.0,5,3,1026.0,0.0,0.0,1.316,0.417,0.25
Robert Sánchez,2020-2021,eng Premier League,403151,27,27.0,10,7,2430.0,2.0,0.0,1.0,0.37,0.259
Robert Sánchez,2021-2022,eng Premier League,403151,37,42.0,11,12,3330.0,3.0,1.0,1.135,0.297,0.324
Robert Sánchez,2022-2023,eng Premier League,403151,23,30.0,6,11,2070.0,2.0,0.0,1.304,0.261,0.478
Roberto,2020-2021,es La Liga,37403,13,17.0,1,1,1170.0,0.0,0.0,1.308,0.077,0.077
Robin Olsen,2020-2021,eng Premier League,75458,7,9.0,2,2,630.0,1.0,0.0,1.286,0.286,0.286
Robin Olsen,2021-2022,eng Premier League,75458,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Robin Olsen,2022-2023,eng Premier League,75458,2,3.0,1,1,180.0,0.0,0.0,1.5,0.5,0.5
Robin Zentner,2020-2021,de Bundesliga,160963,31,46.0,5,9,2790.0,2.0,0.0,1.484,0.161,0.29
Robin Zentner,2021-2022,de Bundesliga,160963,32,42.0,10,12,2880.0,1.0,0.0,1.312,0.312,0.375
Robin Zentner,2022-2023,de Bundesliga,160963,26,39.0,7,9,2340.0,1.0,0.0,1.5,0.269,0.346
Robin Zentner,2023-2024,de Bundesliga,160963,9,17.0,2,2,810.0,1.0,0.0,1.889,0.222,0.222
Romain Salin,2020-2021,fr Ligue 1,23974,15,14.0,5,9,1350.0,1.0,0.0,0.933,0.333,0.6
Romain Salin,2021-2022,fr Ligue 1,23974,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Roman Bürki,2020-2021,de Bundesliga,59027,18,28.0,4,9,1620.0,0.0,0.0,1.556,0.222,0.5
Roman Bürki,2021-2022,de Bundesliga,59027,1,1.0,0,1,90.0,0.0,0.0,1.0,0.0,1.0
Rubén Blanco,2020-2021,es La Liga,199321,19,30.0,4,7,1639.0,0.0,1.0,1.647,0.211,0.368
Rubén Blanco,2022-2023,fr Ligue 1,199321,5,6.0,0,1,405.0,0.0,0.0,1.333,0.0,0.2
Rubén Blanco,2023-2024,fr Ligue 1,199321,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Rubén Martínez,2020-2021,es La Liga,8184,3,6.0,0,0,188.0,0.0,1.0,2.872,0.0,0.0
Rubén Yáñez,2020-2021,es La Liga,246335,10,12.0,4,3,900.0,2.0,0.0,1.2,0.4,0.3
Rui Patrício,2020-2021,eng Premier League,45026,37,51.0,10,12,3330.0,1.0,0.0,1.378,0.27,0.324
Rui Patrício,2021-2022,it Serie A,45026,38,43.0,15,18,3420.0,2.0,0.0,1.132,0.395,0.474
Rui Patrício,2022-2023,it Serie A,45026,35,35.0,13,17,3150.0,1.0,0.0,1.0,0.371,0.486
Rui Patrício,2023-2024,it Serie A,45026,4,6.0,1,3,360.0,1.0,0.0,1.5,0.25,0.75
Rui Silva,2020-2021,es La Liga,234811,31,55.0,7,11,2790.0,1.0,0.0,1.774,0.226,0.355
Rui Silva,2021-2022,es La Liga,234811,21,19.0,8,11,1890.0,2.0,0.0,0.905,0.381,0.524
Rui Silva,2022-2023,es La Liga,234811,26,32.0,9,12,2340.0,2.0,0.0,1.231,0.346,0.462
Rui Silva,2023-2024,es La Liga,234811,9,13.0,3,3,810.0,2.0,0.0,1.444,0.333,0.333
Rune Jarstein,2020-2021,de Bundesliga,24112,8,13.0,1,2,720.0,0.0,0.0,1.625,0.125,0.25
Rémy Descamps,2022-2023,fr Ligue 1,282028,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Rémy Descamps,2023-2024,fr Ligue 1,282028,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Rémy Riou,2022-2023,fr Ligue 1,18940,5,6.0,1,1,450.0,0.0,0.0,1.2,0.2,0.2
Salvatore Sirigu,2020-2021,it Serie A,25508,32,62.0,7,5,2880.0,0.0,0.0,1.938,0.219,0.156
Salvatore Sirigu,2021-2022,it Serie A,25508,37,59.0,10,4,3330.0,0.0,0.0,1.595,0.27,0.108
Salvatore Sirigu,2022-2023,it Serie A,25508,1,0.0,1,1,90.0,0.0,0.0,0.0,1.0,1.0
Sam Johnstone,2020-2021,eng Premier League,110864,37,74.0,6,4,3330.0,1.0,0.0,2.0,0.162,0.108
